id,question,correct_answer,option1,option2,option3,option4,category,points
35,"Where is the area called an-Nahr, dedicated to sacrificial slaugthering during Eid-ul-Adha, located?",Mina.,Madinah.,Mina., Muzdalifah.,Jeddah.,The Great Masjid,10
36,The triple-domed mosque with a large courtyard is which of the following empire style of mosque architecture?(see pic),Mughal.,Parsian.,Ottoman.,Mughal.,Byzatine.,The Great Masjid,10
37,Should we remove our shoes before entering a mosque?,Yes.,None.,All of the above.,No.,Yes.,The Great Masjid,10
38,How many jamarat(stoning pillars)are there in Mina?,Three.,Three.,One.,Four.,Six.,The Great Masjid,10
39,What influence does the Nastaliq script shows? ,Persia.,Egypt.,Persia.,Turkish.,Indonesia.,The Great Masjid,10
40,What is huququllah?,"It means a prayer, almsgiving, fasting, pilgrimage and other religious duties.",It means Allah never sleeps.,It means sound of a bird.,"It means a prayer, almsgiving, fasting, pilgrimage and other religious duties.",It means Allah is quick.,The Great Masjid,10
41,"Do the jamarat, or the stoning pillars, cover an area of 20 hectares, 50 Heactares or 70 heactares?",20 Hectares.,50 Hectares,70 Hectares,20 Acres,20 Hectares.,The Great Masjid,10
42,What purpose does a minaret in mosque serve?,As a local landmark and allowing the voice of the muezzin to be heard at the maximum distance.,As a local landmark and allowing the voice of the muezzin to be heard at the maximum distance.,Just a beautification with no purpose.,Edifice to obtain information from Allah.,It allows prayer to be accepted by Allah.,The Great Masjid,10
43,What is Huquq-ul ibad?,A muslim's social and other duties towards his or her fellow Muslims.,Muslims with no Ibad.,Our joint cooperate social responsibilty.,A muslim's social and other duties towards his or her fellow Muslims.,Muslims with true Ibad.,The Great Masjid,10
44,"Is a mosque with four-iwans, a courtyard and a qiblah dome chamber  an African, Chineese or Iranian style of mosque design?(see pic)",Iranian.,Kurdish.,African.,Chineese.,Iranian.,The Great Masjid,10
45,Which act has been called Miftah al-Janna or the key of paradise by the Prophet Muhammad(S.A.W)?,Prayer(salah).,Fasting.,Prayer(salah).,Hajj.,Jihad.,The Great Masjid,10
46,What is the distance between Arafat and Mina?,10 km from the Mina.,5km from Mina.,18km from Mina.,10 km from the Mina.,52.3km from the Mina,The Great Masjid,10
47,"The picture was originally the minaret of a famous mosque in Spain of Almohad period, now incoroparated into a cathedral, known as? (see pic)",Giralda.,Giralda., Siyalda.,Rihda Minar.,Suyuti Masjid.,The Great Masjid,10
48,How many additional takbirs are recited in salat al-Eid?,Six.,Five.,Three.,Eight.,Six.,The Great Masjid,10
49,"Is al-Hajar al-Aswad or the Black Stone fixed on one corner of the Kabah raised 1.5m, 2m, or 4m above the ground?",1.5m.,3.1m.,1.5m.,1.25m.,1.3m.,The Great Masjid,10
50,Which of the following is the most decorated  in a masjid?,Mihrab.,Dome.,Minar.,Mihrab.,Minbar.,The Great Masjid,10
51,Under what conditions are the fard prayer reduced?,During a journey.,During a journey.,During Nikkah ceremony. ,In the market area.,During old age.,The Great Masjid,10
52,"Is the door of the Kabah shown in the visual here positoned on the west, north or north-eastern side?",North-Eastern side.,Eastern side.,Western side.,North-Western side.,North-Eastern side.,The Great Masjid,10
53,"Who wrote the book Miftah al-Hisab(the key to Arithmetic), a manual which helped Muslim architects in the design of arches, domes and murqamas vaults in mosques?",Giyath al-Din Jamshed al-Kashi.,Hassan Al Nadwi.,Giyath al-Din Jamshed al-Kashi.,Ali ibn Sina.,Al-khatib al-Baghdad.,The Great Masjid,10
54,Do we shorten our witr prayer when we are travelling?,No. We say it as on a normal day.,Yes but it is Makruh.,Yes. It is permitted.,No. We say it as on a normal day.,None of the above.,The Great Masjid,10
55,Where is the Black Stone (al-Hajar al-aswad) situated relative to the Kabah? ,Eastern side.,Eastern side.,Western side.,Southern side.,Northern side.,The Great Masjid,10
56,Which masjid initially acted as the architectural model of the masjid?,The Prophet's Masjid at Madinah.,Instabul Masjid in Turkey.,Masjid Negara Malaysia.,Masjid Amr ibn al-As,The Prophet's Masjid at Madinah.,The Great Masjid,10
57,Do we shorten Fajr and Maghrib prayers when we are traveling?,"No, we don't.  We say two rakah Fajr and three rakah Maghrib, even while traveling.",Shorten only Magrib.,"No, we don't.  We say two rakah Fajr and three rakah Maghrib, even while traveling.",All of the above.,None of the above.,The Great Masjid,10
58,What is the area defined by a semicircular wall of 1.25m  height (as shown in visual) to the south-west side of the Kabah called?,Al-Hatim.,Al Mahram.,Ihram.,Al-Hatim.,The black stone.,The Great Masjid,10
59,The mosque in Yemen built following the instructions of the Prophet Muhammad(S.A.W) is today known as?,Al-Kabir masjid.,Al-Kabir masjid.,As-Sunnah Masjid,Al-Falah masjid.,Ar-Rushd Masjid,The Great Masjid,10
60,How far must a traveller go before being able to avail of the provision of the reduced fard prayer?,When he is forty eight miles or eighty km away from his home.,When he is eighty four miles from home.,When he is one hundred and eight miles from home.,When he is one thousand miles from home.,When he is forty eight miles or eighty km away from his home.,The Great Masjid,10
61,"Is al-Mashar al-Haram located at Mina, Muzdalifah orArafat.",Muzdalifah.,Mina.,Muzdalifah.,Arafat.,Sina'i.,The Great Masjid,10
62,The small geometrical compositions used for vault decoration in the mosque is called?,Muqarans.,Mithal.,Dikka.,Muqarans.,Maqsura.,The Great Masjid,10
63,"How long can a person, while on a journey, avail himself of the provision of the Qasr?",As long as he is traveling and has no intention of staying at one place for more than fifteen days.,As long as he is traveling and has no intention of staying at one place for more than fifteen days.,52days.,One year.,As long as he intends to stay.,The Great Masjid,10
64,An area known as Riyaz al-Jahnah (part of Jahnah) is inside which of the following masjid?,Masjid An-Nabawi.,Masjid Al-Aqsa,Masjid Kaoroun,Masjid al-Haram.,Masjid An-Nabawi.,The Great Masjid,10
65,A chamber of a mosque that is roofed or vaulted and open on one side is called. (see pic),An Iwan.,A diwan.,An Iwan.,A dome.,A Minaret.,The Great Masjid,10
66,How many rakah are said in salat al-Tarawih?,Twenty or eight.,Twenty-five.,Thirty-two.,Twenty or eight.,Three.,The Great Masjid,10
67,"During early Islamic period, Al-Mahmal is the name of given to the procession of pilgrimage to the Kabah by?",Egytian.,Syrian.,Iranian.,Kurdish.,Egytian.,The Great Masjid,10
68,The two dimensional geometric designs for surface decoration in the masjid are produced on which of the following?,All of the above,Mosaic.,Ceramic.,Wood.,All of the above,The Great Masjid,10
69,What constitute satr for men?,The navel to the kneel. ,The navel to the kneel. ,The whole body.,Stomach to ankle.,Chest only.,The Great Masjid,10
70,Is it Jabal Rahmah or Jabal al-Nur which is located in the Arafat valley.,Jabal Rahmah.,Jabal Hirah.,Jabal Hudd.,Jabal Rahmah.,Jabal Al-Nur.,The Great Masjid,10
71,Which two mosques are known as Al-Haramayn?,The Masjid al-Haram and The Masjid Nabawiy.,The Masjid al-Nur and The Masjid Sunnah.,The Masjid al-Haram and The Masjid Al-Aqsa.,The Masjid al-Aqsa and The Masjid Nabawiy.,The Masjid al-Haram and The Masjid Nabawiy.,The Great Masjid,10
72,The barrier before one who is engaged in salah is called?,Sutrah.,Futra.,Sutrah.,Fitra.,Suhrat.,The Great Masjid,10
73,Where is the Namirah mosque situated?,Arafat.,Arafat.,Madinah.,Mina.,Muzdalifa.,The Great Masjid,10
74,What is the name of the masjid shown in the visual here? This is situated in Madinah.,The Masjid Quba.,Masjid Al Aqsa.,Masjid An-Nur,The Masjid Quba.,Masjid Nabawiy.,The Great Masjid,10
75,What is tayammum?,"Purification with sand, clay or stone.",When one is tired with his/her mummy.,Journey on a Camel.,"Purification with water then sand, clay or stone.","Purification with sand, clay or stone.",The Great Masjid,10
76,26x39x49 feet are the dimensions of a famous and most sacred House of worship. Which house of worship are we talking about?,The Kabah.,Al Aqsa,The Kabah.,Al-Qudus.,Al-Nur.,The Great Masjid,10
77,The pencil-point minaret shown in the picture here a characteristics feature of which of the following?,Ottoman architecture.,Ottoman architecture.,Abbasid Architecture.,Mughal architecture.,Jewish Architecture.,The Great Masjid,10
78,Which act during the hajj or umrah is known as Istilam?,The kissing of Hajar Al-Aswad or the Black Stone.,Purification with stone/leaf.,Drinking Zam Zam water.,The kissing of Hajar Al-Aswad or the Black Stone.,Killing sacrificial animal.,The Great Masjid,10
79,How many meters is the well of Zamzam from the Kabah?,20 meters.,320 meters.,15 meters.,22 meters.,20 meters.,The Great Masjid,10
80,This unconventional mosque known as Nilein mosque is situated at the confluence of Blue Nile and White Nile and is located in which city?,Khartoum.,Luxor.,Khartoum.,Cairo.,Abuja.,The Great Masjid,10
81,What are the pillars of Islam?,"Shahadah, Salah, Saum, Hajj and Zakah.  (Bearing witness that there is only one God, Allah, and that Muhammad (SAW) is His Prophet, prayer, the fast of Ramadan, the pilgrimage to Makkah and almsgiving.)","Shahadah, Salah, Saum, Hajj and Zakah.  (Bearing witness that there is only one God, Allah, and that Muhammad (SAW) is His Prophet, prayer, the fast of Ramadan, the pilgrimage to Makkah and almsgiving.)",Shahadah and Zakat.,"Sawm, Salat, and Hajj.","Salat, Zakat, Ihsan.",The Great Masjid,10
82,"The following ancient routes known as Darb Zubaydah, Darb Sham and the Yemen route from the south were used for going to ________.",Makkah,Eygpt.,Madinah.,Makkah,Palestine.,The Great Masjid,10
83,How many arcades does the Great Mosque of Cordova have? (see pic.), double-tiered arcades.,Four arcades.,Single tiered arcades.,triple-tiered arcades., double-tiered arcades.,The Great Masjid,10
84,What are nafl prayers?,The prayers (salah) besides the Fard and Sunnah constitute nafl prayers,Sunnah prayer.,The prayers (salah) besides the Fard and Sunnah constitute nafl prayers,Congregational prayers.,Maghrib prayer,The Great Masjid,10
85,What is the last and farewell hajj of the Prophet Muhammad (SAW) called?,The hajj al-wada,The hajj al-wada,Hajj Al Umra.,Hajj Istiqamah.,None of the above.,The Great Masjid,10
86,"This is a picture of the famous Sultan Ahmet Mosque. Is this situated in Istanbul, Ankara, Cairo or Kenya?",Istanbul,Cairo.,Istanbul,Kenya.,Ankara.,The Great Masjid,10
87,What is Najasah?,A term used for an impurity of any kind.  ,A term used for an impurity of any kind.  ,Daughter of Najashi,A term alien to Islam.,Purification from filth.,The Great Masjid,10
88,"Does the Arafat valley lie 5km, 6km or 7km from Muzdalifah?",6km,15km.,5km,7km,6km,The Great Masjid,10
89,"This is supposed to be the oldest surviving mosque in China originally built by Abi Waqas, the father of the Prophet Muhammad's (SAW) companion Sad bin Abi Waqas. The masjid is today known as?",Huai-Sheng Si (in the city of Guangzhou),Yang Bao,Zheng-Jing Si.,Huai-Sheng Si (in the city of Guangzhou),Sheng-You Si.,The Great Masjid,10
90,What is shahadah?,The sworn testimony that none is worthy of being served besides Allah and that Muhammad (SAW) is His servant and Messenger,The first woman to nurse the Prophet Muhammad (S.A.W).,The sworn testimony that none is worthy of being served besides Allah and that Muhammad (SAW) is His servant and Messenger,A small town at the outskirt of Makkah.,None of the above.,The Great Masjid,10
91,Which mosque is known as the mosque of piety (Masjid at-Taqwa)?,Masjid Quba,Masjid Quba, the Masjid Namira.,The Masjid Bilal.,The Masjid Zahrahwain,The Great Masjid,10
92,Does a musalla denote a prayer mat or the direction of the Kabah?,Prayer mat,Direction of Kabah.,Compass,Direction of Al Aqsa.,Prayer mat,The Great Masjid,10
93,What prayers constitute the second pillar of Islam?,"The five daily prayers: Fajr, Zuhr, Asr, Maghrib and Isha",Prayer for rain.,Duha prayers,"The five daily prayers: Fajr, Zuhr, Asr, Maghrib and Isha",Janazah prayer.,The Great Masjid,10
94,Which of these shapes best describe the shape of the Kabah? (see pic),Cuboid.,Rectangular.,Cuboid.,Circular.,Rhimbus.,The Great Masjid,10
95,The qiblah wall of a mosque lie in the direction of ___________.,Kabah,Kabah,The Masjid an-Nabawi.,The Masjid al-Aqsa.,Masjid Al Qudus.,The Great Masjid,10
96,"According to the Muslim calendar, the month of Ramadan is the last month of the lunar year.  True or False?",False.  Ramadan is the ninth month of the Muslim calendar,False.  Ramadan is the ninth month of the Muslim calendar,True.,None of the above.,All of the above,The Great Masjid,10
97,What does the structure in the visual here represent?,Jamarah (Stoning Pillar),Arafat.,Muzdalifah.,Jamarah (Stoning Pillar),Safa and Marwa.,The Great Masjid,10
98,When Was the minarets began to be introduced into the architecture of the mosque?,673 C.E.,650C.E.,673 C.E.,870C.E.,570C.E.,The Great Masjid,10
99,Which of the following is the month of fasting?,Ramadan,Ramadan,Rajab,Shaban,Muharram,The Great Masjid,10
100,How far is the door of the Kabah from the ground? (see pic),2.25 metres or 7 feet,4.5 metres or 9 feet,1.5 metres or 6 feet,3.5 metres or 8 feet,2.25 metres or 7 feet,The Great Masjid,10
101,Which mosque in West Africa is considered to be the penultimate architectural symbol for Islam in West Africa?,"The Great Mosque, Djenne","The Giant mosque, Abuja","Blue Dome mosque, Dakkar","The Great Mosque, Djenne","Bashir mosque, Khartoum",The Great Masjid,10
102,Which two books constitute two famous sahih books of Hadith?,Sahih Al-Bukhari and Sahih Muslim,Jalalayn and Qurtubi,Ibn majah and An-Nakai,Al-Kitab Nawawi and Silsilatu Albany,Sahih Al-Bukhari and Sahih Muslim,The Great Masjid,10
103,The Holy Mosque at Makkah stand in the centre of ________.,Wadi Ibrahim,Wadi Khaybar,Wadi Sinai,Wadi Ibrahim,Wadi Qassim,The Great Masjid,10
104,What constitute the decorative pattern in the arches of the Great Mosque of Cordoba? (see pic),White stone alternating with red brick,yellow stone alternating with green brick,white stone only ,Green brick only,White stone alternating with red brick,The Great Masjid,10
105,Who was the first prophet of Allah?,Prophet Adam (A.S.),Prophet Nuhu (A.S.),Prophet Ibrahim (A.S.),Prophet Adam (A.S.),Prophet Ismail (A.S.),The Great Masjid,10
106,"khazz, habrah, anmat, qabati, burud and dibaj are once names of the ____________.",Clothes covering the Kabah,wives of some notable companions of the prophet,Clothes covering the Kabah,doors of haram,the hills surrounding the Kabah,The Great Masjid,10
107,The picture is a beautiful mosaic pictorial decoration known as the _________________.,Brada Panel.,Brada Panel.,Faluda panel, Granada panel ,Farsi panel,The Great Masjid,10
108,Who was the last prophet of Allah?,The Prophet Muhammad (SAW).,Gulam Ahmad.,The Prophet Muhammad (SAW).,The Prophet Isa (A.S.),The Prophet Musa (A.S.),The Great Masjid,10
109,How far is Makkah above sea level?,277 meters.,277 meters.,300 meters.,227 meters.,377 meters,The Great Masjid,10
110,What do we have in a mosque for the purpose of wudu?,Fountain or wudu stations.,Dome.,Minar.,Fountain or wudu stations.,Minbar.,The Great Masjid,10
111,What is ihram and when is it worn?,Pilgrim's robe for men consisting of two unstiched white clothes.  It is worn during Hajj.,Dead robe and it is worn during janaza.,Pilgrim's robe for men consisting of two unstiched white clothes.  It is worn during Hajj.,Honourable clothes and it is worn during important occasion.,None of the above.,The Great Masjid,10
112,How high is the door of the Kabah?  (see pic),1.68 metres wide and 3.05 metres high.,1.5 metres wide and 3.50 metres high.,2.5 metres wide and 4.50 metres high.,1.68 metres wide and 3.05 metres high.,3.68 metres wide and 5.05 metres high.,The Great Masjid,10
113,Which of the following do Muslims use while designing decorative patterns in the mosques?,Geometry,Philosophy,Geometry,Literature,Philology,The Great Masjid,10
114,What actions are fard (incumbent) in Hajj? 1. To wear ihram.    2. To do tawaf (circumambulation) round the Kabah.    3. Sa'y (to move to and fro between Safa and Marwa).      4. To stand at Arafat.,"1, 2, 3, and 4.",1 and 2 only.,"1, 2, 3, and 4.",3 and 4 only,1 and 4 only.,The Great Masjid,10
115,What is Al-Mataf ?,Open space around the Kabah.,The passage between Safa and Marwah.,The open space around the Marwah.,Open space around the Kabah.,the name of the open space around the Safa and Marwah.,The Great Masjid,10
116,In which country do the mosques have pyramidal pitched roofs? (see pic),Indonesia.,Indonesia.,Iran.,India.,Bangladesh.,The Great Masjid,10
117,Which surah of the Quran is recited in every rakah of the salah?,Surah al-Fatihah.,Surah Al-Ikhlas.,Surah al-Fatihah.,Surah Al-Mulk.,Surah Yasin.,The Great Masjid,10
118,Wadi Nar lies near which of the following _________________.,Makkah.,Iraq.,Jordan.,Makkah.,Medina.,The Great Masjid,10
119,"This is a picture of a famous mosque, Masjid Negara in Malaysia.  Where is it located?",Kuala Lumpur.,Kuala Lumpur.,Kuala Terengganu.,Kuantan.,Kelantan,The Great Masjid,10
120,How does envy harm believers?,It eats up or takes away good actions just as fire eats up and burns wood.,It kills only the kafir.,It eats up or takes away good actions just as fire eats up and burns wood.,It adds to believers scale of good deeds,It makes believers vulnerable to jinn attack. ,The Great Masjid,10
121,What is shadarwan feature in the Kabah?,Marble base.,Golden water-spouton top of the kabah.,scallop-shell ceiling.,Marble base.,iron-ceiling.,The Great Masjid,10
122,Which is the special feature of the mihrab in the Great Mosque of Cordoba? (see pic),Scallop-shell ceiling.  Scallop is a type of shellfish.,Scallop-shell ceiling.  Scallop is a type of shellfish.,Iron-ceiling.,Steel ceiling.,Aluminium ceiling.,The Great Masjid,10
123,What constitute satr for women?,"The whole body of a woman, except her face. ",From navel to knee.,"The whole body of a woman, except her face. ",Only chest and bottom.,only her face and hands.,The Great Masjid,10
124,How much does the Kiswah weigh?,2 tons.,1 ton.,3 tons.,2 tons.,5 tons.,The Great Masjid,10
125,"Can you identify the Arabic calligraphic script shown in the visual? Is it Kufic, Rihani or Taliq?",Rihani.,Rihani.,Kufic.,Taliq.,Amharic.,The Great Masjid,10
126,"When are we allowed to perform tayammum, or dry ablution? 1. When we all ill and cannot get to water 2. when water is scarce 3. when the use of water may be harmful.","1, 2 and 3.",1. only,3. only,1. and 3. only,"1, 2 and 3.",The Great Masjid,10
127,What does the Kiswah measure?,232 sq yards.,232 sq yards.,210 sq yards.,250 sq yards.,260 sq yards.,The Great Masjid,10
128,This is a famous Mosque Dar al-Islam built recently in traditional mud brick style.  Where is it located? ,New Mexico., California.,New Mexico.,New York.,Malaysia.,The Great Masjid,10
129,What does Allah say about backbiting?,It is equal to eating the flesh of one's dead brother.,It is equal to eating one's flesh.,It is equal to eating the flesh of one's brother alive.,It is equal to eating the flesh of one's dead brother.,It is equal to eating the flesh of dead Camel.,The Great Masjid,10
130,What is the diameter of al-Hajar al-Aswad?,18cm.,15cm.,20cm,50cm,18cm.,The Great Masjid,10
131,What is the plaster (or cement) used for covering and decorating walls (or ceilings) called?,Stucco.,Stucco.,Frieze.,Cornice.,Marble.,The Great Masjid,10
132,What are the essential acts in Umrah?,Circumambulation around the Kabah and walking briskly between Safa and Marwah seven times.,Circumambulation around the Kabah ,Circumambulation around the Kabah and walking briskly between Safa and Marwah seven times.,Walking briskly between Safa and Marwah seven times.,Walking briskly to Arafat.,The Great Masjid,10
133,Where is the position of the al-Multazam?,Between door of the Kabah and al-Hajar al-Aswad.,Between river jordan and the black sea.,Between the station of Ibrahim and al-Hatim,Between door of the Kabah and al-Hajar al-Aswad.,Between the station of safa and marwah,The Great Masjid,10
134,What do we call the band of painted or carved decoration at the top of a wall (or column) next to the cornice?,Frieze.,Marble.,Terazzo.,stucco.,Frieze.,The Great Masjid,10
135,Is the funeral prayer performed in the standing position only?,"Yes, it is said in the standing position.","Yes, it is said in the standing position.","No, it is said in the siting position.",None of the above.,All of the above,The Great Masjid,10
136,This is a picture of Masjid al-Aqsa.  This was built by ________________.,Abd al-Malik.,Al-Walid,Abd al-Malik.,Al-Marwan.,AbdulAzeez.,The Great Masjid,10
137,What is the decorative border in stone or in plaster at the top of walls (or columns) called?,Cornice.,Stucco.,Frieze.,Cornice.,Marble.,The Great Masjid,10
138,How many rakah do we say in the Eid prayers?,2 rakah.,4 rakah.,3 rakah.,11 rakah.,2 rakah.,The Great Masjid,10
139,"Identify this Great Mosque in Cairo built by a Governor of Egypt in 1840.  Is this 1. The Mosque of Mohammad Ali?, 2. The Sherfuddin Mosque? 3. The Blue Mosque?",1. only,3. only,1. only,2. only,All of the above,The Great Masjid,10
140,Are the prayers of Eid read out aloud?,Yes.  They are read out aloud.,No.  They are not read out aloud.,First rakah is read aloud and the second rakah are read in silence..,Yes.  They are read out aloud.,None of the above.,The Great Masjid,10
141,"Is the Mosque of Jinn situated in Makkah, Madinah or Kufah?",Makkah.,Madinah.,Kufah.,Isfahan.,Makkah.,The Great Masjid,10
142,"Thedecorative mosaic panel, known as the Brada Panel, found in the Great Mosque of Damascus is named after _______________.",River.,River.,Mountain.,Desert.,Star.,The Great Masjid,10
143,Is an adhan or iqamah required for the Eid prayer?,"No, neither adhan nor iqamah is required for the Eid prayer.","Yes, adhan and iqamah are required for the Eid prayer.","No, neither adhan nor iqamah is required for the Eid prayer.",None of the above.,All of the above.,The Great Masjid,10
144,Where is the cemetery al-Mulla situated?,Makkah.,Taif.,Madinah.,Makkah.,Kufah.,The Great Masjid,10
145,"Construction of this imposing mosque in Hyderabad, India was started in 1617 by Muhammad Qutub Shah and finally completed in 1693 by the Mughal King Aurangzeb.  What is this Masjid called?",Makkah Masjid.,Madinah Masjid,Jama Masjid.,Taj Mahal.,Makkah Masjid.,The Great Masjid,10
146,When does Eid al-Adha fall?,On the tenth day of Dhul Hijjah.,On the tenth day of Dhul Hijjah.,Last tenth day of Ramadan.,Nineth day of Muharram.,15th day of Shaban.,The Great Masjid,10
147,Which edifice stands at the birthplace of the Prophet Muhammad (SAW)?,Library (Maktaba Makkah).,Mosque.,Library (Maktaba Makkah).,Jamiah.,Post office,The Great Masjid,10
148,"Do we call the calligraphic and floral designs in glazed-tile mosaic Kashi, Lahori or Iraqi? (see pic)",Kashi.,Farsi.,Lahori.,Kashi.,Iraqi.,The Great Masjid,10
149,"When does the ceremonial washing of the Kabah, in which the King of Saudi Arabia also participates, take place every year? ",Seventh of Dhul Hijjah.,Seventh of Dhul Hijjah.,Twelfth of Dhul Hijjah.,Fifth of Dhul Hijjah.,Sixth of Dhul Hijjah?,The Great Masjid,10
150,What are the essential components of mosque architecture? 1. A prayer hall 2. A qiblah wall with a mihrab 3. A minbar.,"1, 2, and 3.",1. only,"1, 2, and 3.",2. only,3. only,The Great Masjid,10
